ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard
2789,45,20,30,96003,1,0.1,1,0,0,0,1,0
2558,36,11,23,94553,4,0.2,3,0,0,0,1,0
2862,42,18,60,92677,4,0.2,3,151,0,0,0,1
1051,53,27,145,90095,2,6.1,3,294,0,1,1,1
1512,58,32,65,90266,3,2.2,3,0,0,0,0,0
1355,35,10,179,91942,1,8.6,1,357,0,0,0,0
1755,50,24,80,95616,4,4.9,1,0,0,0,1,0
1346,57,32,23,92126,2,0.2,3,0,0,0,0,0
3873,53,29,63,94720,2,1.0,3,0,0,0,1,0
485,25,1,113,95023,2,0.2,1,0,0,0,1,1
1786,29,3,190,94080,2,4.5,1,0,0,0,1,0
1728,52,26,54,90049,2,1.5,2,0,0,0,0,1
2149,54,30,58,92007,2,3.2,3,0,0,0,0,0
4843,49,23,174,95449,3,4.6,2,590,0,0,0,0
3600,45,19,23,93101,2,0.1,3,91,0,1,1,1
3310,52,27,43,94611,4,0.2,2,0,0,0,1,0
3179,46,21,71,95814,4,1.9,3,0,0,0,0,0
4188,30,5,109,94305,4,2.2,2,103,0,0,0,1
2712,39,14,34,94939,4,1.7,1,0,0,0,1,1
4219,52,27,43,94005,4,0.2,2,0,0,0,0,1
2814,48,22,14,94303,2,0.1,3,0,0,0,1,0
1574,44,20,69,92028,1,0.8,3,184,0,1,1,1
2005,30,4,44,92704,1,1.9,3,143,0,0,0,0
3778,62,37,98,94706,1,0.9,1,151,0,0,1,0
3239,52,28,49,94928,4,1.1,2,0,0,0,1,0
2064,56,30,32,94080,2,0.4,3,0,0,0,1,0
3841,56,31,35,95211,3,0.1,2,114,0,0,0,0
4699,48,22,162,94143,3,1.4,1,400,0,0,0,0
2111,28,4,104,94301,3,2.5,1,0,0,0,0,0
3004,52,28,44,90747,3,1.9,2,0,0,0,0,1
2592,31,7,8,95131,4,0.7,2,0,0,0,0,0
2916,34,9,133,92110,1,3.8,1,0,0,0,1,0
726,39,15,119,92037,2,6.1,1,0,0,0,0,0
309,32,8,128,94720,2,4.33,1,0,0,1,1,1
3534,57,32,50,94545,4,2.1,1,211,0,0,0,0
4691,59,34,19,92192,1,0.3,3,0,0,0,1,0
3917,50,26,12,92121,1,0.2,1,96,0,0,0,0
634,61,31,18,94583,1,1.5,3,0,0,0,1,1
1269,34,9,62,92677,3,2.3,1,0,0,0,0,0
50,40,16,49,92373,1,1.8,1,0,0,0,0,1
1461,40,16,85,92677,4,0.2,3,0,0,0,1,1
3064,54,29,21,95841,4,0.1,3,0,0,0,0,0
1305,51,26,145,90025,1,8.1,1,397,0,0,0,1
3598,56,26,51,92028,3,2.0,3,0,0,0,1,0
3580,28,2,84,94305,1,2.9,3,102,1,1,0,1
3635,59,35,73,90009,4,2.3,3,0,0,0,0,0
830,55,30,81,90254,4,3.8,2,0,0,0,1,0
449,31,4,60,94588,4,2.0,2,0,0,0,1,1
1750,46,22,52,95814,2,2.1,3,221,0,0,0,0
40,38,13,80,94115,4,0.7,3,285,0,0,1,0
4526,36,11,110,94110,1,3.8,1,0,0,0,1,1
488,39,13,88,94117,4,1.4,2,0,0,0,1,1
537,25,-1,43,92173,3,2.4,2,176,0,0,1,0
4496,38,14,82,95616,4,2.67,1,0,0,0,0,0
2839,30,6,181,94542,3,4.1,2,0,0,1,1,1
3509,33,9,125,92182,1,4.3,3,0,0,0,1,0
2764,55,31,13,93943,4,0.7,1,0,0,0,1,0
1931,56,29,51,94080,3,1.0,2,0,0,0,1,0
2030,30,3,61,92152,4,2.0,2,0,0,0,1,0
72,53,29,69,93907,4,1.0,2,0,0,0,1,0
2480,55,30,82,94720,4,3.8,2,0,0,0,1,0
3196,55,29,35,90007,3,1.4,1,0,0,0,0,0
3986,65,40,32,90095,1,1.1,3,120,0,0,1,0
2404,38,13,140,90210,4,0.5,1,0,0,0,0,0
3251,36,11,101,90212,3,1.2,3,0,1,0,0,1
2815,54,28,53,94002,1,2.2,3,0,0,0,1,1
3891,42,17,139,91101,2,2.9,3,0,0,0,1,0
11,65,39,105,94710,4,2.4,3,0,0,0,0,0
2966,53,27,31,91605,2,0.4,3,104,0,0,0,1
2596,35,10,105,92780,1,4.6,1,0,0,0,0,0
4902,26,0,54,96094,3,1.1,2,0,0,0,1,0
4611,37,13,79,91330,1,3.6,2,104,0,0,1,0
476,43,19,152,92008,3,6.1,2,0,0,0,0,0
2293,57,33,170,95051,2,2.1,2,0,0,0,0,0
3103,49,25,30,90095,4,0.9,2,0,0,0,0,1
4619,35,9,29,95354,3,0.9,1,126,0,0,1,0
4201,43,19,74,94035,4,1.9,1,0,0,0,0,1
3332,67,42,21,94607,3,0.1,3,0,0,0,0,1
5,35,8,45,91330,4,1.0,2,0,0,0,0,1
2520,60,36,10,92121,2,1.0,1,0,0,0,1,1
1393,47,23,33,90095,1,1.0,1,0,0,0,1,1
2117,44,17,70,94920,3,2.67,2,0,0,0,0,0
580,57,33,88,93524,1,2.7,2,0,0,0,1,0
4508,26,1,8,94550,2,0.9,3,0,0,0,0,1
2283,38,14,90,94110,2,2.7,1,0,0,0,1,1
2475,64,38,40,92122,2,1.0,3,0,0,0,0,0
3443,43,18,30,93940,1,0.5,3,0,0,0,1,0
1208,38,12,43,94301,4,1.2,2,0,0,0,0,1
4783,26,0,150,91311,2,7.2,1,0,0,0,0,1
598,24,-2,125,92835,2,7.2,1,0,1,0,0,1
144,25,1,54,94117,4,1.6,1,0,0,0,1,1
2539,37,12,175,92037,2,7.8,1,297,0,0,1,1
4148,59,35,180,96008,2,6.5,2,0,1,1,1,1
1103,29,3,84,95023,1,2.9,3,0,0,0,1,0
139,59,34,42,94928,3,1.5,1,0,1,1,0,1
1664,57,32,42,95070,3,0.5,2,0,1,0,1,0
1638,30,6,193,94022,3,6.3,3,0,0,0,1,0
4833,29,4,83,91950,4,2.2,2,0,0,0,1,1
4000,47,21,90,90245,2,0.8,3,0,0,0,0,0
2603,52,26,161,93108,4,4.3,1,0,0,1,1,1
522,48,24,75,92518,4,1.4,2,0,0,0,1,0
4215,46,22,89,94303,1,2.7,1,0,1,1,1,1
2880,42,15,73,94545,3,2.33,2,0,0,0,0,0
4077,49,23,22,92220,1,0.3,3,0,0,0,0,0
1859,35,11,65,90747,3,2.8,1,240,0,0,1,0
3865,62,32,142,95112,2,2.8,3,0,0,0,0,1
4049,27,2,48,90049,2,1.6,3,119,1,0,1,0
751,29,5,138,93106,2,4.33,1,0,0,0,1,0
3975,46,21,41,94305,1,0.5,3,0,0,0,0,0
794,24,-2,150,94720,2,2.0,1,0,0,0,1,0
3131,23,-2,82,92152,2,1.8,2,0,1,0,0,1
2455,54,29,23,93955,1,1.5,2,0,0,0,0,0
4917,29,5,123,90291,2,0.6,1,0,0,0,1,0
2535,56,30,90,94402,1,1.9,2,0,0,0,1,0
1177,29,3,103,90049,4,3.4,1,0,0,0,1,0
680,55,31,103,92093,3,1.8,2,364,0,0,0,0
2777,46,20,140,93106,2,6.3,1,380,0,0,1,1
1820,60,34,59,94110,1,1.6,1,231,0,0,1,0
3242,41,15,55,94305,1,2.8,1,0,0,0,0,0
977,54,30,24,94109,4,0.2,1,0,1,0,0,0
3717,55,29,65,91773,3,2.5,1,0,0,0,0,0
1209,50,26,48,91711,1,1.6,2,0,0,0,0,1
3653,35,9,69,94704,4,2.2,2,0,0,0,0,1
939,62,37,19,95818,4,0.4,2,124,1,0,0,0
1455,51,25,148,90024,1,1.0,1,0,0,0,0,0
4132,48,23,23,94534,4,0.4,2,122,0,0,0,0
734,49,24,80,92009,1,1.2,1,0,0,0,1,0
1640,56,31,68,94571,2,0.0,3,0,1,0,1,0
899,57,32,63,94111,4,0.7,1,0,0,0,1,0
2031,63,38,111,95814,2,3.9,1,207,1,1,1,1
3038,27,2,158,95060,3,0.4,2,0,0,1,1,0
4398,48,23,19,90058,1,0.1,1,0,0,0,1,0
3894,30,5,40,92521,4,1.7,2,0,0,0,1,0
2078,34,9,160,94108,4,8.0,3,0,0,0,0,1
3065,59,33,83,94701,3,4.4,1,0,0,0,1,0
1428,31,5,85,95828,2,1.3,1,119,0,0,1,1
2687,50,24,81,95053,2,0.4,3,0,0,0,0,0
4567,24,0,131,92831,1,5.4,1,0,0,0,1,0
3817,55,30,70,94904,3,2.0,2,0,0,0,1,1
689,44,20,71,94304,4,1.9,1,207,0,0,1,0
1439,63,37,90,94105,4,1.9,2,106,1,0,1,0
1204,62,37,50,91311,3,2.4,1,0,0,0,1,0
4433,53,27,50,92660,2,0.8,3,0,0,0,1,0
3441,26,1,39,95133,4,0.6,2,0,0,0,0,1
1669,63,37,20,90066,1,0.8,2,0,1,0,0,1
3061,64,38,168,94061,4,5.7,3,0,0,0,1,0
4675,40,14,93,93933,1,2.8,3,328,1,1,1,1
795,54,29,44,91301,2,2.3,3,0,0,0,1,0
962,35,9,30,94114,4,1.0,1,163,0,0,1,0
2565,43,16,25,94126,3,1.0,2,0,0,0,1,0
3289,56,30,140,94122,4,0.5,1,292,0,0,0,0
1356,61,37,48,91910,1,0.8,1,158,0,0,1,0
1147,31,7,71,90034,1,0.1,1,78,1,0,0,0
1035,49,23,84,90095,3,2.1,1,134,1,0,1,0
3277,55,31,159,92123,1,3.9,3,0,0,0,0,0
4104,44,20,52,94143,1,0.8,3,196,0,0,0,1
4293,63,37,191,94131,2,4.3,3,205,0,0,0,0
4413,34,10,19,91711,4,0.4,2,0,0,0,0,0
80,50,26,19,94720,2,0.4,1,118,0,0,1,0
2761,32,7,49,94080,3,2.3,1,0,0,0,1,0
1270,36,11,14,92673,4,0.2,3,100,0,0,1,1
4661,59,35,38,92122,1,0.8,1,0,0,0,1,0
1135,39,14,42,95616,1,2.5,3,0,0,0,1,0
4880,40,15,43,90095,4,1.7,1,98,0,0,0,0
1837,44,19,74,90041,4,1.9,3,0,0,0,0,0
1868,65,39,21,94553,2,0.4,1,0,0,0,0,0
54,50,26,190,90245,3,2.1,3,240,0,0,1,0
4804,48,24,48,92064,2,2.1,3,0,0,0,1,0
4541,56,32,64,90210,4,1.5,1,0,0,0,1,0
3047,37,12,63,95630,3,2.3,1,0,0,0,1,0
843,34,10,54,92101,3,2.0,1,0,0,0,0,0
3062,38,13,81,90095,1,4.0,3,206,1,0,1,0
3836,33,9,131,90065,3,2.2,3,0,1,0,0,0
3507,27,1,58,95827,4,1.8,2,154,0,1,1,1
4128,43,19,82,95758,2,1.8,2,0,0,0,1,1
2058,37,12,125,91754,2,3.9,1,0,0,0,1,1
3647,34,9,141,92056,3,6.9,2,260,0,0,1,0
527,26,2,205,93106,1,6.33,1,271,0,0,0,1
3293,25,-1,13,95616,4,0.4,1,0,1,0,0,0
3110,60,34,40,93940,3,2.2,3,0,1,0,1,0
3320,60,35,153,95136,3,2.0,3,0,0,0,0,1
1017,30,5,69,94720,1,0.8,2,0,1,0,1,0
847,51,27,93,92154,1,2.7,1,0,0,0,1,0
4437,60,35,33,90095,2,0.5,2,0,0,0,1,0
4166,63,38,135,91768,2,3.8,3,183,0,0,0,0
3858,63,39,39,91711,1,1.9,2,0,0,0,0,0
4538,62,36,63,95929,1,2.5,3,0,0,0,1,1
3164,51,27,52,94132,2,1.0,3,0,0,0,0,0
398,26,2,48,90503,3,0.7,2,0,0,0,1,0
4464,39,13,69,94123,3,0.1,1,0,0,0,0,0
4898,43,18,44,91345,1,2.4,1,0,0,0,0,0
662,63,38,52,94720,2,2.8,1,0,0,0,1,0
2390,27,1,41,90033,1,1.9,3,0,0,0,0,1
2208,38,12,180,90245,1,2.8,3,158,0,0,1,0
566,55,29,79,90210,3,0.8,1,0,0,0,1,0
917,44,20,85,92192,2,3.2,1,0,0,0,1,0
2108,41,17,85,90291,4,0.2,3,229,0,0,0,0
1891,52,27,184,90630,1,8.1,1,0,0,0,0,0
994,41,15,185,91775,1,3.6,2,0,0,0,0,0
3338,59,29,61,92008,3,2.0,3,0,0,0,1,0
4570,47,21,49,92152,3,2.2,2,0,1,0,0,0
2221,65,40,80,94105,1,0.8,3,0,0,0,1,0
620,57,27,73,93106,1,3.0,3,0,0,0,0,0
4152,44,18,123,95841,3,5.9,1,0,0,1,1,1
3456,43,19,28,93010,3,0.5,1,0,0,0,1,1
1873,43,17,98,94402,3,1.1,1,0,0,0,0,0
3719,45,19,8,92833,2,0.1,3,0,0,0,0,1
2274,27,1,83,91775,4,2.1,3,0,0,0,1,1
127,31,5,115,92096,2,1.3,1,101,0,0,1,1
1430,31,5,35,95064,1,0.6,3,171,0,0,0,0
2939,33,9,61,93943,3,2.6,2,0,0,0,1,0
4168,48,24,144,94025,4,3.5,2,0,0,0,0,0
432,39,13,75,94305,3,2.1,1,224,0,0,1,0
2795,52,26,35,94550,4,1.8,1,0,0,0,1,0
820,56,30,45,90024,4,1.5,3,0,0,0,0,0
1184,50,25,35,94105,3,1.7,2,0,0,0,1,1
103,53,23,44,93555,3,1.0,3,198,0,0,1,1
592,30,5,51,92037,1,1.0,1,0,0,0,1,0
376,33,7,90,92346,3,1.6,1,0,0,0,1,0
4404,50,24,112,92064,1,0.0,1,0,0,0,0,0
573,39,15,128,92333,1,3.4,1,0,0,0,0,0
3945,56,26,62,91320,3,1.4,3,0,0,0,1,0
32,40,16,29,94117,1,2.0,2,0,0,0,1,0
1658,31,5,28,94538,3,1.0,1,0,0,0,1,0
267,63,38,61,94720,2,1.5,1,0,0,0,1,0
4574,46,20,73,95616,2,0.8,3,264,0,1,1,1
4050,54,28,82,94122,4,2.6,3,294,0,0,0,0
4360,38,12,58,95054,2,2.8,1,0,0,0,1,0
175,42,17,168,95503,2,7.9,2,0,0,0,1,0
1252,39,13,31,95120,2,0.8,3,0,0,0,0,0
3844,32,7,129,94720,4,5.2,2,0,0,0,0,1
111,41,14,9,91330,3,1.0,2,0,0,0,0,0
839,45,20,29,92507,4,1.9,3,0,0,0,0,0
1196,32,7,123,92407,2,2.9,2,0,0,0,1,0
4289,42,17,28,94010,1,0.6,3,0,0,0,0,1
1854,51,25,60,90401,4,2.6,1,97,0,0,1,0
1061,59,34,23,93111,1,0.1,1,0,0,0,0,1
1812,28,3,11,94534,4,0.5,3,0,0,0,0,0
4221,54,30,39,94806,4,0.1,3,0,1,0,1,0
3696,61,35,60,90272,1,2.8,2,0,0,0,1,0
2046,52,28,44,95051,4,0.9,2,107,0,0,1,0
769,43,19,72,90024,2,1.7,1,0,0,0,1,0
4848,37,11,65,94143,2,2.4,2,260,0,0,1,0
4288,54,28,42,95207,4,2.5,1,0,0,0,1,1
3105,56,31,48,91775,2,2.1,3,0,0,0,0,1
3136,25,0,91,95039,2,1.8,2,321,0,0,0,0
4862,49,24,18,95616,1,0.4,3,121,0,0,1,0
2929,31,6,175,95005,2,6.7,1,0,0,0,1,0
593,44,20,79,95051,4,2.0,3,0,1,1,1,1
3022,54,28,159,90245,2,0.5,1,461,0,0,1,0
3497,37,13,49,91711,4,2.0,3,192,0,0,0,0
1916,37,11,69,91911,3,2.1,1,0,1,0,0,0
3827,43,19,132,90089,1,5.0,1,0,0,0,0,0
567,53,28,175,95060,3,3.6,3,0,0,1,1,1
507,51,25,44,94608,3,0.9,3,0,0,0,0,0
2067,41,16,30,95814,2,1.4,2,0,0,0,0,1
2714,44,18,129,92028,1,5.7,1,0,0,0,1,0
431,51,26,113,94086,1,1.3,3,161,0,0,1,0
4308,45,19,128,94928,4,6.0,3,0,0,0,1,0
162,61,35,80,95053,2,2.8,1,0,0,0,1,0
2291,38,13,78,91942,4,0.7,3,0,0,0,1,0
191,60,36,93,92521,1,4.3,1,0,0,0,1,0
3450,57,32,135,90095,3,4.8,2,0,1,1,1,0
257,26,0,99,92697,4,2.3,3,0,0,0,0,1
3347,41,15,65,92037,2,2.8,1,0,0,0,1,1
1342,42,16,55,91355,2,0.7,1,149,0,0,0,0
3175,49,24,35,94701,4,0.2,2,0,0,0,0,1
2865,65,41,84,95762,2,0.0,3,0,0,0,1,1
1405,58,28,75,92121,1,1.4,3,0,0,0,1,0
1566,34,9,104,95758,3,1.2,3,0,0,0,1,0
1824,33,8,125,91320,1,0.0,1,0,0,0,1,1
4271,45,19,19,93117,3,1.5,1,94,0,0,1,1
4837,54,24,72,93943,3,1.4,3,218,0,0,0,1
4951,47,23,19,90089,1,1.0,1,0,0,0,0,1
2002,44,17,128,94928,2,3.25,2,0,0,0,0,1
2446,47,23,25,93106,1,0.9,3,0,0,0,1,0
3987,38,14,182,92152,3,2.6,3,0,0,1,1,1
3102,55,31,91,93555,2,2.8,1,0,0,0,0,0
2321,46,22,84,92692,4,2.0,3,0,0,0,1,0
4670,27,1,64,94501,4,1.8,2,0,0,0,1,1
3452,54,30,70,92182,1,1.6,3,251,0,0,1,1
2281,33,7,30,94920,2,2.0,3,132,0,0,0,0
2850,45,21,158,94085,2,6.67,1,132,0,0,1,1
3224,43,18,29,95126,1,0.5,3,0,0,0,1,0
3168,62,38,58,94720,4,1.2,2,228,0,0,0,1
1449,41,16,49,92122,3,0.5,3,0,0,0,1,0
119,41,16,73,92647,3,3.0,1,0,0,0,1,0
2454,43,19,60,94104,3,2.1,3,0,0,0,1,0
2668,63,39,58,94112,1,0.0,2,0,0,0,1,0
1517,41,17,49,92130,4,2.2,2,0,0,0,0,0
633,57,32,165,94720,4,2.7,3,0,0,0,1,0
497,50,24,83,94301,2,0.4,3,0,0,0,1,0
1424,55,30,64,90250,2,2.3,3,0,0,0,0,0
1412,65,39,184,91302,1,5.4,3,176,0,1,1,1
1540,29,5,21,90601,3,0.9,3,119,0,0,0,0
3147,26,1,38,91910,4,1.7,2,0,0,0,1,0
3898,56,31,64,90245,2,2.3,3,0,0,0,0,0
4853,38,12,33,94708,4,1.5,3,0,1,0,0,1
3407,42,12,34,92177,3,2.0,3,0,0,0,0,1
1379,54,29,34,93305,4,0.1,3,0,0,0,1,0
4488,38,14,81,94583,1,3.6,2,0,0,0,1,1
2416,45,21,11,94143,4,0.2,1,106,0,0,1,1
3770,29,4,134,90095,2,3.3,1,204,0,0,0,0
4529,48,23,48,94086,1,0.3,1,0,0,0,0,0
1524,41,16,104,92037,1,1.0,3,0,0,0,1,0
2899,27,1,140,91711,1,5.9,2,175,1,1,1,0
3282,51,25,62,95014,2,1.5,2,0,0,0,1,1
663,65,41,185,93561,3,2.0,2,0,0,0,0,0
4029,46,20,64,94117,4,2.9,1,189,0,0,0,0
3978,54,27,51,94309,3,1.0,2,113,1,1,1,1
3699,38,12,59,96001,3,0.5,3,0,1,1,1,1
2641,39,13,81,94309,2,2.8,1,0,0,0,1,0
2115,62,36,69,95039,2,1.7,3,0,0,0,1,0
4412,23,-2,75,90291,2,1.8,2,0,0,0,1,1
4266,27,2,44,93943,4,0.6,2,0,1,1,1,0
3050,60,35,125,94720,2,3.9,1,0,0,0,0,0
4600,49,25,149,90024,2,0.4,1,0,0,0,1,0
3000,60,34,44,94143,1,0.2,1,0,0,0,0,1
3361,48,24,133,90740,1,5.0,1,0,0,0,0,0
2411,29,4,130,92630,2,6.7,1,0,0,0,0,1
4792,59,35,43,91791,4,0.4,1,0,0,0,0,1
1301,61,36,23,91754,2,0.5,2,103,0,0,1,0
274,41,16,65,90095,3,0.5,3,0,0,0,1,0
4474,31,5,18,92115,2,0.3,1,124,0,0,1,1
1650,29,4,73,95039,1,0.8,2,0,0,0,1,0
3420,35,10,34,95503,4,1.7,1,87,0,0,1,1
3032,51,25,29,90212,1,1.4,3,102,0,0,0,1
3467,33,6,53,94122,2,1.0,2,96,0,0,0,1
3177,48,24,14,91330,3,0.4,1,0,0,0,1,0
3457,46,22,125,94536,2,4.7,3,0,0,0,1,0
3156,55,29,62,92626,3,0.3,2,0,0,0,1,0
3732,34,8,10,92867,1,0.4,2,0,0,0,1,0
1485,55,30,40,94126,2,2.3,3,0,1,0,1,0
3390,27,3,88,92182,3,0.8,1,238,0,0,0,0
4911,48,22,120,90291,1,0.0,1,0,0,0,1,0
2087,36,12,84,90291,1,0.8,2,0,0,0,1,1
3003,37,13,95,90095,2,1.7,2,83,0,0,0,0
2063,57,31,55,92521,3,2.5,1,219,0,1,1,1
3350,55,25,95,92407,2,4.5,3,275,0,0,0,0
3495,29,2,31,91330,4,1.5,2,0,0,0,0,0
1645,59,35,33,91355,4,0.4,1,131,0,0,0,1
3128,40,14,61,94539,4,0.2,3,0,0,0,1,0
3860,50,24,62,90245,1,1.4,3,0,0,0,0,0
182,36,12,10,93524,4,0.7,2,81,0,0,0,0
209,40,16,73,94110,4,2.67,1,0,0,0,1,1
3360,43,19,45,91773,3,0.6,2,0,0,0,0,0
3750,43,19,70,90095,3,2.33,1,0,0,0,1,0
336,56,32,122,95827,2,0.3,1,360,0,1,1,1
2447,25,1,70,93010,4,2.6,1,218,0,0,1,0
4160,45,20,70,94305,4,1.9,3,0,0,0,1,1
3212,35,9,83,90277,2,4.5,3,0,0,0,1,0
1855,52,25,41,95403,3,1.0,2,0,0,0,1,0
317,57,31,165,95054,1,1.6,2,0,0,0,1,0
3279,31,6,132,94571,1,3.8,1,0,0,0,1,0
4143,57,32,70,90024,3,1.6,3,0,0,0,0,0
2543,54,30,79,92630,4,1.6,2,0,0,0,1,0
1527,36,10,80,94608,4,2.2,2,0,0,0,1,0
1913,42,16,191,94304,3,4.8,2,0,1,1,1,0
4748,49,25,91,94704,4,1.4,2,0,0,0,1,0
4390,58,32,40,90057,1,1.6,1,0,1,1,1,1
2660,60,35,43,91763,3,0.9,3,175,0,0,0,0
3433,47,23,32,95370,1,1.0,1,0,0,0,0,1
3056,28,2,111,94305,4,2.3,3,0,0,0,1,0
745,45,20,154,94720,2,2.8,1,0,1,0,1,0
2267,38,13,143,94550,1,4.1,1,0,0,0,0,0
1719,40,16,19,92028,4,0.4,2,0,0,0,1,1
406,36,11,133,90245,1,3.8,1,290,1,1,1,1
3039,34,8,39,92124,4,0.2,1,115,0,0,1,0
4839,56,30,44,91330,4,2.5,1,0,0,0,0,1
4017,53,28,173,91614,4,2.7,1,427,0,0,1,0
3910,33,7,111,90245,2,1.3,1,0,0,0,1,0
546,43,19,28,94303,4,0.3,1,87,0,0,0,0
77,58,32,12,91320,3,0.3,3,0,0,0,0,0
2399,53,29,90,95053,2,0.3,1,217,1,0,0,1
3096,49,25,43,94109,1,1.6,2,0,0,0,1,1
4735,63,39,64,95814,1,1.8,3,147,0,0,1,1
95,65,39,121,92612,1,2.0,1,0,0,0,0,0
1678,34,10,42,92173,1,1.5,2,131,0,0,0,0
415,52,28,41,94309,3,1.9,2,0,0,0,0,1
1398,65,41,45,95521,3,0.1,3,0,0,0,1,0
3657,35,8,30,95014,4,1.0,2,0,1,0,0,0
2767,58,32,108,95123,3,4.4,1,0,0,0,1,0
3471,57,31,175,90503,2,0.5,1,429,0,0,1,1
